order_id,product_id,category,quantity,price,order_date
443d9991-7c24-4df3-ad45-6ab3e2303e32,762,Hogar,1,143.4,2021-01-22
843895d1-9402-4b05-aea7-82c9a988a051,772,Electrónica,10,259.55,2021-07-24
90e14169-f3bc-4221-9a3a-97625bef77f5,343,Hogar,8,252.68,2021-04-21
100acc9c-0f5f-4971-b5d9-65fc03a55a5a,436,Hogar,2,131.84,2021-02-22
2ecf952b-5ca6-44ec-9532-97851d494fe2,787,Accesorios,3,246.55,2021-12-04
59ead218-790e-4d51-b19e-07c0124be5f6,997,Videojuegos,3,318.11,2021-10-20
5421b4bb-0e6e-4a3d-b4da-76ccd4a2c60d,744,Electrónica,10,144.5,2021-10-29
f101305f-f5ee-4476-8829-09ba65aae3b2,146,Videojuegos,8,476.79,2021-11-14
67a6f233-826c-407b-9626-39156f89de0f,529,Electrónica,1,139.31,2021-06-08
6d945625-9454-4737-be37-d6009766c86b,638,Videojuegos,2,225.92,2021-06-13
ede7034b-cfbe-4cc4-a406-bafd70f508e0,314,Hogar,8,197.14,2021-10-17
9ba361e0-6b2b-4fe4-b3bf-dcfeaa720079,337,Videojuegos,3,35.53,2021-07-19
821e2e82-9ec9-4882-add7-1c7e37370977,421,Computadoras,9,370.56,2021-10-31
6576c01e-255e-47af-83e7-09ddc9d37c97,595,Computadoras,10,239.74,2021-07-26
0eb8638d-193f-4390-8009-eb0b354507a8,164,Electrónica,8,331.32,2021-04-07
106f7422-0cf4-4b23-9442-023f3b134a7f,182,Electrónica,6,352.78,2021-09-10
f4be9739-0bdd-4dc7-9602-4833e6924f74,493,Hogar,4,409.43,2021-10-03
242058b7-c858-4f24-8bf2-3124b684ace7,286,Accesorios,9,134.3,2021-03-05
ff995ebb-c272-4583-b98f-a741df71b358,602,Accesorios,9,230.77,2021-01-06
5e7d0ccf-8d05-454f-a12d-9329dc715a44,475,Computadoras,6,463.19,2021-04-18
0078b294-3797-4b4c-99bc-9d8b828358d6,928,Electrónica,3,47.48,2021-09-04
795944c0-8722-4ccd-8d28-580bd931bb71,571,Hogar,7,301.48,2021-03-09
9b0449e1-6db2-4ec4-b5f6-6c3108686d06,989,Hogar,1,55.94,2021-05-07
e155ef04-b4ba-47e4-95ce-bacc3e516024,119,Videojuegos,7,45.62,2021-08-14
4f4f535c-c119-45a2-b3d3-3876d525ee57,919,Videojuegos,5,35.61,2021-10-21
8db1b40d-f087-4da4-87d8-8e3e40617ee8,672,Videojuegos,9,315.39,2021-05-24
f2e7cd6c-ac7d-4f8f-8159-1f3e3dcb28d1,590,Computadoras,5,279.75,2021-05-26
c322776d-e2d8-40b5-aab5-f4847ae0e0ed,683,Computadoras,10,447.36,2021-02-20
aacee619-ba75-4822-9842-074f31138dd8,847,Hogar,4,282.54,2021-08-08
b349d018-3eb4-40b1-8af9-5dd9e4969a75,587,Hogar,3,232.83,2021-04-28
5b2873b6-f3c7-4835-8a1c-0137065edfa6,168,Videojuegos,6,153.3,2021-06-01
4c588083-7a0b-44aa-9449-becad1e0be50,846,Accesorios,1,205.77,2021-10-08
aac6f1dd-f851-49f8-ac36-5621e551b0d7,814,Videojuegos,3,218.41,2021-06-29
77e5942a-b33f-431a-8990-5054ec8c283c,262,Electrónica,1,67.25,2021-10-23
d445d53f-58ae-47ce-b82a-af3f5d72bb20,132,Accesorios,3,70.48,2021-10-17
1a1d707b-8bc0-4b2f-848d-18a2cf514a0b,628,Computadoras,4,228.99,2021-08-06
bf129ee5-786d-4027-b87d-59fe61bfc070,416,Videojuegos,5,147.37,2021-09-28
